band_index,band_label,delta_mean_nll,end_pos,from_mean_nll,from_stage,paper_run_id,start_pos,to_mean_nll,to_stage
0,00-10%,0.7661027733659567,819,3.688195085350847,S3_125M,protocol_r_125m_main_v1_dclm8k_s2s3_eval,1,4.454297858716804,S2_125M
1,10-20%,0.7379630325186968,1638,3.5334344474969477,S3_125M,protocol_r_125m_main_v1_dclm8k_s2s3_eval,820,4.2713974800156445,S2_125M
2,20-30%,0.718769003620078,2457,3.4963007031488478,S3_125M,protocol_r_125m_main_v1_dclm8k_s2s3_eval,1639,4.215069706768926,S2_125M
3,30-40%,0.7078995663895564,3276,3.4989557324457228,S3_125M,protocol_r_125m_main_v1_dclm8k_s2s3_eval,2458,4.206855298835279,S2_125M
4,40-50%,0.7030331495331552,4096,3.4853039997379955,S3_125M,protocol_r_125m_main_v1_dclm8k_s2s3_eval,3277,4.188337149271151,S2_125M
5,50-60%,0.6974910601009232,4915,3.481600098848634,S3_125M,protocol_r_125m_main_v1_dclm8k_s2s3_eval,4097,4.179091158949557,S2_125M
6,60-70%,0.7034342932322666,5734,3.4977675404158557,S3_125M,protocol_r_125m_main_v1_dclm8k_s2s3_eval,4916,4.201201833648122,S2_125M
7,70-80%,0.6982875353541855,6553,3.477836115165217,S3_125M,protocol_r_125m_main_v1_dclm8k_s2s3_eval,5735,4.176123650519402,S2_125M
8,80-90%,0.6934789860204904,7372,3.472323053194635,S3_125M,protocol_r_125m_main_v1_dclm8k_s2s3_eval,6554,4.165802039215126,S2_125M
9,90-100%,0.6949579378453694,8192,3.4729505957626716,S3_125M,protocol_r_125m_main_v1_dclm8k_s2s3_eval,7373,4.167908533608041,S2_125M
